,,,,,,,,,,,,,,,,,,,,,Foto (Maps),,,Sumber,,,,,,,,,
No,Nama Usaha,Kategori (Villa/Homestay),Owner/Pengelola,Kepemilikan (opsional),Alamat,Pantai Terdekat,No. WA/Telepon,"Harga (Rp)
Weekday","Harga (Rp)
Weekend",Harga High Season (opsional),Tanggal Verifikasi Harga,Kapasitas Tamu,Fasilitas (Parkir Gratis/WiFi/AC/Kolam/dll),Jam Check-in,Jam Check-out,Media Sosial,Gmaps Tersedia,Link Google Maps,"Website
(opsional)","Link Foto Tumbnile
(buat crosscek fto doang, gausa diisi aman)",Eksterior,Interior,Link Foto (kl ada dimaps gausa),Agoda,Booking.com,Traveloka,Tiket.com,Website lain,Google Maps,Media Sosial,Survei Lapangan,Status Kelengkapan,Catatan
1,Villa Rikna,Villa,Rikna,Belum Dicek,"Jalan DerSono, Gumuharjo, Watukarung, Pringkuku, Pacitan Regency, East Java 63552",Pasir Putih Watukarung,wa.me/62823325583210,"Rp230.000,00","Rp350.000,00",,16/07/2026,,"TV Kabel
Patio atau teras
Peralatan Mandi Gratis
Kolam Renang Pribadi
Setrika/Meja Setrika
Meja Tulis
Shower
Ruang Makan Terpisah
Balkon
Dapur Lengkap
Televisi
Kipas Angin",13:00,12:00,@pacitanwatukarung,Ya,https://www.google.com/maps/place/Villa+Rikna/data=!4m10!3m9!1s0x2e7bdd85c0539217:0xb6e2b86e218feb75!5m2!4m1!1i2!8m2!3d-8.2296019!4d110.9723987!16s%2Fg%2F11fkm_5f8j!19sChIJF5JTwIXdey4RdeuPIW644rY?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGbhtBeaQNeOLQiKT6DM9Rp_au_o4q2S74iG0MS7va2LWg1sqXuRVOprXVhLtw1TijNPniWuZmedxMzz7SEGfWyyCLuDrR2S23s9i7af_ctEgOsSKNVm71MfYDivcnNM3fsTRRU=w408-h306-k-no,TRUE,TRUE,,TIDAK,TIDAK,TIDAK,YA,TIDAK,YA,TIDAK,TIDAK,Belum Lengkap,
2,Jasmine Lestari Homestay,Homestay,,Belum Dicek,"QX7C+JPR, Jalan Dusun, RT.01/RW.07, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Pasir Putih Watukarung,wa.me/62813362426570,,,,,,,,,@homestayjasmine,Ya,"https://www.google.com/maps/place/Lestari+Homestay/@-8.235856,110.9717971,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bddbf01985317:0x428cfcb72099292c!8m2!3d-8.235856!4d110.9717971!16s%2Fg%2F11g6q5446x?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFHQPxt_NbxsseJne6xs5yfi2vcjHtedqAg5YIvwAJTidNCX3nZGpJckIO6JBc160Z4C8TP6NDfJiURr5AeI265Vn_VAiBK9sMac9NGQ7T4X5HT49OjOSUO0aPbwIXO2eNu5Q-h=w408-h306-k-no,TRUE,TRUE,,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
3,Hacienda Watukarung,Villa,,Belum Dicek,"QX7C+V73, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Pasir Putih Watukarung,wa.me/62813999974560,"Rp1.620.000,00",,,16/07/2028,,"Kolam Renang
Wifi
AC
Parkir Gratis",14:00,13:00,@haciendawatukarung,Ya,https://www.google.com/maps/place/Hacienda+Watukarung/data=!4m10!3m9!1s0x2e7bddb78945ac69:0x6beac27849a90b02!5m2!4m1!1i2!8m2!3d-8.23533!4d110.9706653!16s%2Fg%2F11svmp1skp!19sChIJaaxFibfdey4RAgupSXjC6ms?authuser=0&hl=id&rclk=1,https://haciendawatukarung.com/vila/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFN-0md2VR33SzpmXObqfHTCorEveKZNLPwQNReMeR4AO0XJQdWfwsYdGE5Dgl4KunhU1z0-18aQVWIEDcIg7lNgG7C8ARM1f8fDTc4TX1eOv-vag1Yco_HKLiYkjS8xrZ1LhHW=w32-h32-p-k-no,TRUE,TRUE,,YA,TIDAK,YA,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
4,D' Sastroredjo,Homestay,Sutanto,Belum Dicek,"QX89+484, Area Persawahan, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Pasir Putih Watukarung,wa.me/62823322309260,,,,16/07/2029,,,,,,Ya,https://www.google.com/maps/place/D%27+Sastroredjo/data=!4m7!3m6!1s0x2e7bdd84489c5d7f:0xe237002bd73bbd87!8m2!3d-8.2347263!4d110.9683298!16s%2Fg%2F11g5nfh7mt!19sChIJf12cSITdey4Rh7071ysAN-I?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGykUzD9C8N_bx3gUjS461FZaia9MlCqnTVheCiRYh-o1Sd6yRpiVt5FaFF0J8ForTl4wZDc9OdHAaqyM2ZS7eKksna7b2lTjccbT9YOXL_fyS0b-rAr9Kbp4Wu82CwG05yOx6UsEIJzUxc=w32-h32-p-k-no,FALSE,FALSE,,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
5,Harry's Ocean House Watukarung,Homestay,,Belum Dicek,"Unnamed Road Ketro, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Pasir Putih Watukarung,wa.me/62813837855250,,,,16/07/2030,,"WiFi
Antar Jemput Bandara 
Perlengkapan BBQ
Fasilitas Ramah Difabel",14:00,12:00,@harryswatukarung,Ya,https://www.google.com/maps/place/Harry%27s+Ocean+House+Watukarung/data=!4m10!3m9!1s0x2e7bddbf99035ab1:0x9ad3090a4087517d!5m2!4m1!1i2!8m2!3d-8.2362453!4d110.972865!16s%2Fg%2F11c54mx3gy!19sChIJsVoDmb_dey4RfVGHQAoJ05o?authuser=0&hl=id&rclk=1,https://www.facebook.com/profile.php?id=100009601817557,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGDnuYKFIlaqxuF8_2HdlKV7T2T7quYXuR0H6iIt7rLFtGebp4UP-lwOBI4XMbmxU_jz3WelgHiEWtYjvrA9Q2wv-CkCUg8K17bnzhZyzCx5tolKVuDrlg58ozwyUzEjRL0y8X9=w427-h240-k-no,TRUE,TRUE,,YA,TIDAK,YA,YA,TIDAK,YA,TIDAK,TIDAK,Belum Lengkap,
6,Omah Sewa Watukarung,Villa,,Belum Dicek,"QX7C+VCW, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Pasir Putih Watukarung,wa.me/62821398879100,"Rp810.000,00","Rp855.000,00",,16/07/2031,,"WiFi
Parkir Gratis
AC
Kitchenette
Balkon
Hot Tub
TV
Teras",,,@omah_sewa,Ya,https://www.google.com/maps/place/Omah+Sewa+Watukarung/data=!4m7!3m6!1s0x2e7bdd00653f27b5:0x9424b2d47a6b643c!8m2!3d-8.2352562!4d110.9710731!16s%2Fg%2F11xf4zlld9!19sChIJtSc_ZQDdey4RPGRretSyJJQ?authuser=0&hl=id&rclk=1,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGmQq_qsPwjkYq4359uq8wxz4HmZHcj-r1XbJDlJ7ofjYkwucRC-rruxqwHknr3iZOYOz-J-nvf92GUNgv5nD0zP6TIsVz0vmiAWX1wLl4GDSGII6SbnrgmfQ2aHtjoAJW0pYFZunYJcoeK=w32-h32-p-k-no,FALSE,FALSE,,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
7,Villa Batu Hill Watukarung,Villa,,,"Area Pesawahan, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Pasir Putih Watukarung,wa.me/6281359245011,Rp 2.796.917,Rp 2.796.917,,26/07/2026,,"Breakfast (Asian)
Free private parking
Views (Sea view, Garden view, Mountain view, Terrace)
Pet friendly (Pets welcome, Allowed at no extra charge)
Private kitchen (Kitchenette, Dining table, Refrigerator, Kitchen)
Outdoor swimming pool
Free Wifi 
Massage Service
BBQ Service
Tour Service
Antar-jemput bandara
Car rent
Kulkas
",14:00,12:00,villa.batu.hill,Ya,https://www.google.com/maps/place/Villa+Batu+Hill+Watukarung/data=!4m7!3m6!1s0x2e7bddbea3d5aba3:0x26d92200c6b7df3e!8m2!3d-8.2347479!4d110.9689297!16s%2Fg%2F11c5sr7twd!19sChIJo6vVo77dey4RPt-3xgAi2SY?authuser=0&hl=id&rclk=1,http://www.villabatuhill.com/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHKig8knJQ8H8RuB-m53wOhwy7ElcoCae0i_hnJjBUCPedJNMthPRgKXP7S2whq0RhdrTvizk9RG5HEd2YblH0svH9dENKUlaHqxkAYvdumHEI1ekwmePFXUnucrgBuZXAVkTBs=w32-h32-p-k-no,TRUE,TRUE,,YA,YA,YA,YA,YA,YA,YA,TIDAK,Lengkap,
8,Watukarung Ristu Homestay,Homestay,,,"Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Pasir Putih Watukarung,wa.me/6282136084343,Rp 296.993,Rp 316.044,,26/07/2026,,"AC
TV
Swimming Pool
Family room
Non-smoking room
Coffee/tea in lobby
WiFi in public area",15:00,12:00,ristuhomestay,Ya,https://www.google.com/maps/place/Watukarung+Ristu+Homestay/data=!4m10!3m9!1s0x2e7bdd53a5d83d2b:0xc03af27142445958!5m2!4m1!1i2!8m2!3d-8.2351973!4d110.9731524!16s%2Fg%2F11f62dp675!19sChIJKz3YpVPdey4RWFlEQnHyOsA?authuser=0&hl=id&rclk=1,https://linktr.ee/ristuhomestay?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPOTM2NjE5NzQzMzkyNDU5AAGnCbNDp2EUftrVKkE60epbmIRWJWkbZzOBeHvCvcKGL1y1BSclcup-41HTFxA_aem_m_8xhGcvgmft__1TA_4a2w,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGqGlVBs4XDp3iOTCbUA9XjO1cRHntX433thJzZq_HcEDwJvNzbjimQ59eVYuqEsLpKe13izwTUiRHDf_UAZio4uaJTrf-zwlXbfI7TupuZeX_wtyKSDr14H-ibf3v9ZrDUuDyr=w427-h240-k-no,TRUE,TRUE,,YA,YA,YA,YA,YA,YA,YA,TIDAK,Lengkap,
9,Jasmine Homestay,Homestay,,,"Alamat: QX7C+JPR, Jalan Dusun, RT.01/RW.07, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Pasir Putih Watukarung,wa.me/6281336242657 wa.me/6281234475557,,,,,,"AC
TV
Sarapan
Area Parkir
Dapur Umum
Wifi",,,homestayjasmine,Ya,"https://www.google.com/maps/place/Jasmine+Homestay/@-8.2358757,110.9717698,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bddc96467c48d:0x7adbdd49e152eb4d!8m2!3d-8.2358757!4d110.9717698!16s%2Fg%2F11r7bszvbk?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGHHFJTTNHRFFJynMsoK7ZehSCDYQCsyMlTKXDpPm-zZ0vO807_D8ZtN1Zc9FjT3UYgHnvfYhBH3h0zI2sAq0sGYwkLLiTe2xvs4qJPv0BWprhlTFylgcyXV3GjXhAPkBfuuJPC7g=w32-h32-p-k-no,TRUE,TRUE,,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,YA,YA,TIDAK,Belum Lengkap,
10,Rikna Beach House,Homestay,,,"Alamat: Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Pasir Putih Watukarung,+62823325583210,Rp 182.920,Rp 183.124,,26/07/2026,,"Wifi gratis 
Kolam renang
Parkir gratis 
Spa
Pijat
Shuttle bandara
Ruang keluarga
Dapur bersama
Balkon/teras
Taman
Sarapan
",13:00,12:00,pacitanwatukarung,Ya,"https://www.google.com/maps/place/Rikna+Beach+House/@-8.2366692,110.9735629,17z/data=!3m1!4b1!4m9!3m8!1s0x2e7bdd466650d353:0xf61b1be2e050a905!5m2!4m1!1i2!8m2!3d-8.2366692!4d110.9735629!16s%2Fg%2F11frp1_y0w?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEC9DlhuTChSFlrIHCz8BGzn8xX4-0BVxkmkw4DidbEPn4FjZRwOL7kXdl3-K3aiSafwuS_jtXriq4uhQs14AIfrxMx3_oIzr8eHrrFc1hVcvsB2CFAnsdYXvRFBItyk0iPmjjgOA=w533-h240-k-no,TRUE,TRUE,,YA,YA,TIDAK,YA,YA,YA,YA,TIDAK,Belum Lengkap,
11,watukarung villa sagara,Homestay,,,"Alamat: RT.01/07/RW.gumulharjo, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Pasir Putih Watukarung,+62821437990750,,,,,,,,,,,"https://www.google.com/maps/place/watukarung+villa+sagara/@-8.2355721,110.9717393,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bdd005d5f0f03:0xc666d6b8b63bd858!8m2!3d-8.2355721!4d110.9717393!16s%2Fg%2F11z7p9trll?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEuaAsQA4GnRyQMJDycDlrquMT7eXNoDGjjE2nOwfnHucIyl4pemTSpYdi1cXbjn3WcgaQUOEEVRInEzAlmHcMsHB_WecpvkDuWsnZeu9JTbF4J_PHi96EQW5TU4oXvoHVtAK-Rm9VqgoNO=w408-h544-k-no,FALSE,FALSE,,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
12,Watukarung Sackstone guesthouse surf,Homestay,,,"Alamat: RT 01 RW 06 dusun ketro desa, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Pasir Putih Watukarung,+62821431444410,,,,,,,,,,,"https://www.google.com/maps/place/Watukarung+Sackstone+guesthouse+surf/@-8.2360744,110.974297,17z/data=!3m1!4b1!4m9!3m8!1s0x2e7bddbf80f7c9fb:0x7522a59d20af58f9!5m2!4m1!1i2!8m2!3d-8.2360744!4d110.974297!16s%2Fg%2F11cncp9v01?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHcTXT9CrS4IZPbmnBaiK9kXcwp0vn_JkUuEAZ59aaATiHry_2tBxyGZ7ICe9Trr-9tqf9eyTTIJ6TlnWQeUOgrJuBsTsaX0LF2WhAOBWfEc2ZhVMqAhROQV23qOjzeqQBxYqSD=w408-h544-k-no,FALSE,FALSE,,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
