,,,,,,,,,,,,,,,Sumber,,,,,
No,Nama Destinasi Wisata,Kategori,Pengelola/Owner,Alamat,Dusun,No. WA/Telepon,HTM,Daya Tarik Utama,Jam Operasional,Media Sosial,QRIS Tersedia,Link Google Maps,Instagram,Link Foto,Website lain,Google Maps,Media Sosial,Survei Lapangan,Status Kelengkapan,Catatan
1,Pantai Jantur,Pantai,,,,,,,,,Belum Dicek,,,,TIDAK,YA,TIDAK,TIDAK,Belum Lengkap,
2,Pantai Pasir Putih Watu Karung,Pantai, rnnnn r n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,,,,,,,,Belum Dicek,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
3,Pantai Kasap,Pantai,Bumdes,"Gumuharjo, Watukarung, Pringkuku, Pacitan, Jawa Timur",,087896591233,"Rp15.000,00","Pantai dengan panorama tebing dan laut lepas yang dijuluki ""Raja Ampat-nya Pacitan"", memiliki gardu pandang dengan pemandangan gugusan pulau karang, ombak Samudra Hindia yang indah, serta menjadi lokasi favorit untuk menikmati sunrise, sunset, fotografi, dan wisata alam.",07.30 - 17.30,@pantaikasap.official,Belum Dicek,https://maps.app.goo.gl/iraVqHm5CUvTXfb47?g_st=aw,@pantaikasap.official,,YA,YA,YA,YA,Lengkap,
4,Pantai Waduk,Pantai,Pemda,"Ketro, Watukarung, Kabupaten Pacitan, Jawa Timur",,,,,,,,https://maps.app.goo.gl/pJo16DJ6piKGkSTy8,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
5,Kali Cokel Pacitan,Sungai,,"Pantai Kasap, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur, Indonesia",,,,,,,,,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
6,Spot Foto Raja Ampatnya puncak kasap,Bukit,Bumdes,"Pantai Kasap, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur, Indonesia",,,Rp. 3.000 - 5.000,Area Selfi View Raja Ampat Pacitan,,,Tidak,https://maps.app.goo.gl/ap64KKfHW5pXEwcDA,,,TIDAK,YA,TIDAK,YA,Belum Lengkap,
7,Pantai Bersah,Pantai,Pemda,,,,"Rp10.000,00",Pantai pasir putih yang panjang seerta dekat dengan tebing terkenal dengan pasirnya yang masih bersih dan cocok untuk menikmati pemandangan laut,,,Tidak,,,,TIDAK,YA,TIDAK,YA,Belum Lengkap,
8,Pantai Blosok,Pantai,Pemda,,,,"Rp10.000,00",Pantai pasir putih yang panjang dengan view laut lepas dan ombak yang tinggi,,,Tidak,,,,TIDAK,YA,TIDAK,YA,Belum Lengkap,
9,Pantai Bercak,Pantai,Bumdes,"Gumulharjo, Watukarung, Pringkuku, Pacitan, Jawa Timur",,,"Rp15,000.00",Pantai pasir putih yang panjang dengan view laut lepas dan ombak yang tinggi,,,Tidak,https://maps.app.goo.gl/3vW9QXgAFUiAkQXNA,,,TIDAK,TIDAK,TIDAK,TIDAK,Belum Lengkap,
