,,,,,,,,,,,Sumber,,,,,
No,Nama Usaha,Jenis Layanan,Tarif (Rp),Bahasa (untuk guide),Pengalaman/Sertifikasi,No. WA/Telepon,Alamat,Pantai Terdekat,Instagram,Link Google Maps,Google Maps,Medsos,Survei Langsung,Data Pokdarwis,Status Kelengkapan,Catatan
1,SHO COFFEE &DING REPAIR,Rental Motor,,,,+62813373995800,"Alamat: QX8F+22R, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Pasir Putih Watukarung,,https://www.google.com/maps/place/SHO+COFFEE+%26DING+REPAIR/data=!4m7!3m6!1s0x2e7bddbf16f77129:0x7c2da85490d51552!8m2!3d-8.2348985!4d110.9725085!16s%2Fg%2F11f3v8t6x7!19sChIJKXH3Fr_dey4RUhXVkFSoLXw?authuser=0&hl=id&rclk=1,Ya,Tidak,Tidak,Tidak,Belum Lengkap,
2,ABS RENTAL MOTOR,Rental Motor,,,,+62822437664210,"Alamat: QX8F+67V, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Kasap,,"https://www.google.com/maps/place/ABS+RENTAL+MOTOR/@-8.2342147,110.9732511,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bdd007b48288f:0x3e8d3d56aaa004ab!8m2!3d-8.2342147!4d110.9732511!16s%2Fg%2F11zcg36zxj?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",Ya,Tidak,Tidak,Tidak,Belum Lengkap,
3,gery watukarung surfcamp,Surf Guide,,,,,"Alamat: Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur",Pasir Putih Watukarung,,"https://www.google.com/maps/place/gery+watukarung+surfcamp/@-8.2372103,110.9734802,17z/data=!3m1!4b1!4m10!3m9!1s0x2e7bddbf9347f1cb:0xed06ff679f257c23!5m2!4m1!1i2!8m2!3d-8.2372103!4d110.9734802!16s%2Fg%2F11z144h9hv!17BQ0FF?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",Ya,Tidak,Tidak,Tidak,Belum Lengkap,
4,Nusantara Ubed Rental Pacitan,Rental Mobil,,,,,"Alamat: Dusun Gumulharjo, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Pasir Putih Watukarung,,"https://www.google.com/maps/place/Sunbay+car+rental./@-8.2346929,110.9719663,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bdda0632ca71d:0x1818ad483d568197!8m2!3d-8.2346929!4d110.9719663!16s%2Fg%2F11z7jqfrn_?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",Ya,Tidak,Tidak,Tidak,Belum Lengkap,
5,Sunbay car rental.,Rental Mobil,,,,+62822326334660,"Alamat: Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Pasir Putih Watukarung,,https://www.google.com/maps/place/Bianca+rent+car/data=!4m7!3m6!1s0x2e7bddf7598bd9e9:0xb76eb41d4e01d145!8m2!3d-8.2351958!4d110.9715907!16s%2Fg%2F11tsjsghkk!19sChIJ6dmLWffdey4RRdEBTh20brc?authuser=0&hl=id&rclk=1,Ya,Tidak,Tidak,Tidak,Belum Lengkap,
6,Bianca rent car,Rental Mobil,,,,,"Alamat: QXFH+GPF, Kenol, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Pasir Putih Watukarung,,https://www.google.com/maps/place/Nusantara+ubed+1/data=!4m7!3m6!1s0x2e7bdd0073e3c425:0x64e017e9feb572e9!8m2!3d-8.2261958!4d110.9793002!16s%2Fg%2F11z3pbg9nr!19sChIJJcTjcwDdey4R6XK1_ukX4GQ?authuser=0&hl=id&rclk=1,Ya,Tidak,Tidak,Tidak,Belum Lengkap,
7,"Tour And Travel, Guide and Rent Car",Tour Guide,,,,+62822348226910,"Alamat: QX8F+238, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Pasir Putih Watukarung,,"https://www.google.com/maps/place/Tour+And+Travel,+Guide+and+Rent+Car/@-8.2349553,110.9726888,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bddbf1422b02f:0x53ce1bafb750ca18!8m2!3d-8.2349553!4d110.9726888!16s%2Fg%2F11f0_dcbw_?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",Ya,Tidak,Tidak,Tidak,Belum Lengkap,
8,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
9,,,,,,,,,,,Tidak,Tidak,Tidak,Tidak,,
