 '2,,,,,,,,,,,,,,Sumber,,,,
No,Nama Usaha,Kategori,Menu/Produk Andalan,Kisaran Harga (Rp),Jam Operasional,Terdaftar di Pokdarwis,No. WA/Telepon,Pantai Terdekat,Alamat,Gmaps Tersedia,Link Google Maps,"Media Sosial
(opsional)",Link Foto,Google Maps,Media Sosial,Survei Langsung,Status Kelengkapan,Catatan
1,Warung Bude Miah,Warung Makan,"Nasi ayam kampung, Nasi Ikan Laut, Nasi soto ayam",2rb - 30rb,09:00-17:00,Belum Dicek,wa.me/6281331940594,Banteng Mati,"Pantai Banteng Mati, kasap, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552",Tidak,,,https://drive.google.com/drive/folders/15iUijjkdWj8FihsA6D9vmzAy37Mk0TxW?usp=drive_link,Tidak,Tidak,Ya,Belum Lengkap,tambahkan dimaps dan perlu konfirmasi
2,Warung Makan Mbok Yatin,Warung Makan,"Nasi Pecel, Nasi Goreng, Aneka Mie",7rb-10rb,"07.00-16.00
 (weekend)",,-,Bercak,"QX87+8CQ, Pantai Bresah, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552",Ya,,,,Tidak,Tidak,Tidak,,
3,wr mbak giarti,Warung Makan,Ikan Bakar,5rb - 40rb,06:00 - 20:00 (weekend),Belum Dicek,wa.me/6282334188709,Blosok,"QX86+PC3,  blosok, Area Pesawaham, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Ya,"https://www.google.com/maps/place/wr+bak+sugiarti/@-8.2332411,110.961047,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7bdd0061e0d575:0xfadee2fda2451db9!8m2!3d-8.2332411!4d110.961047!16s%2Fg%2F11wv81lmmx?authuser=0&hl=id&entry=ttu&g_ep=EgoyMDI2MDcwNS4wIKXMDSoASAFQAw%3D%3D",-,https://drive.google.com/drive/folders/1o9dUg1FYPZ9x-hNELlxFSPN00l3rear7?usp=drive_link,Ya,Tidak,Ya,Lengkap,update maps
4,Nalu Beach Shack,Cafe,Snacks,5rb - 40rb,Sabtu - Minggu 08:00 - 19:00             Hari biasa buka jika ada reservasi saja,Belum Dicek,wa.me/6285232480335,Blosok,"Alamat: Jl Ketro, Area Pesawaham, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Ya,https://www.google.com/maps/place/Nalu+Beach+Shack/data=!4m7!3m6!1s0x2e7bdd5cde38bc3f:0x64ddf9589af762e1!8m2!3d-8.2349362!4d110.9683149!16s%2Fg%2F11y3vcllg7!19sChIJP7w43lzdey4R4WL3mlj53WQ?authuser=0&hl=id&rclk=1,instagram.com/nalubeachshack/,https://drive.google.com/drive/folders/1okbu6hmWSfNdC9PoJrEyeVA41aTiRJl2?usp=drive_link,Ya,Tidak,Ya,Lengkap,update maps
5,Blosok Beach Coffee,Cafe,Drinks: Vanilla & Caramel,5rb - 25rb,10:00 - 21:00 (Weekday)             07:00 - 22:00 (Weekend),Belum Dicek,wa.me/6282243766421,Blosok,"Alamat: QX89+484, Area Persawahan, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552, Indonesia",Ya,https://www.google.com/maps/place/Blosok+Beach+Coffee/data=!4m7!3m6!1s0x2e7bdd006fa630f3:0xd516a3365487af8c!8m2!3d-8.2347308!4d110.9683019!16s%2Fg%2F11z8tk96ff!19sChIJ8zCmbwDdey4RjK-HVDajFtU?authuser=0&hl=id&rclk=1,instagram.com/blosokbeachcoffee/,https://drive.google.com/drive/folders/1HKynf8QbCU2dBaLHYlegwStmw9gxWCdn?usp=drive_link,Ya,Tidak,Ya,Lengkap,update maps
6,Warung Blosok Indah Mak Eny ,Warung Makan,Minuman,start 5rb,06:00 - 17:30,,wa.me/6287721682048,Blosok,"QX89+484, Area Persawahan, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552",Ya,,,https://drive.google.com/drive/folders/1wIn80Nvgzm3PomPRODgEcU8nWo4w8phv?usp=drive_link,Tidak,Tidak,Ya,Lengkap,tambahkan dimaps 
7,Warung Makan Mbah No,Warung Makan,"Minuman & Degan                      ada wc, kamar mandi, musholla",5rb - 35rb,07:00 - 21:00 (Weekend) & tanggal merah,,wa.me/6282316125181,Blosok,"QX89+484, Area Persawahan, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552",Ya,,,https://drive.google.com/drive/folders/1Pu1kQeBwKQGgCQNmG4vubK5vQKlYEJE4?usp=drive_link,Tidak,Tidak,Ya,Lengkap,tambahkan dimaps 
8,Warung Mbak Dwi,Warung Makan,Ikan & Degan,5rb - 35rb,tiap hari 07:00 - 18:00,,wa.me/6285233897158,Blosok,"QX89+484, Area Persawahan, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552",Ya,,,https://drive.google.com/drive/folders/1iypk1eTdFt2a8J4GjbFb5szG9Ap3Pe3Y?usp=drive_link,Tidak,Tidak,Ya,Lengkap,tambahkan dimaps 
9,"Warung Sederhana ""Among Roso"" ",Warung Makan,Minuman & Pop Mie,5rb - 35rb,07:00 - 20:00,,wa.me/628214942437,Blosok,"QX89+484, Area Persawahan, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552",Ya,,,https://drive.google.com/drive/folders/1C1jLfllKsy5zAoem5zrmlQOp6B7A3ci3?usp=drive_link,Tidak,Tidak,Ya,Lengkap,tambahkan dimaps 
10,Java Resto,Restoran,Menu Prasmanan,8rb-42rb,07:00 - 21:00,Belum Dicek,wa.me/6282142455644,Karung,"Pantai, Watukarung, Pringkuku, Pacitan Regency, East Java 63552",,https://maps.app.goo.gl/MCqkahbyShKiModF8,TikToK: @javaresto1,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlST80mhFmzY4Xcyomcc04f12x7NjjMT87Uyrc7-SBGA68M58bYrkWZ1Qbzb2LTHh-5Xv0xV3Vl3y3T3pedgaf4RPA7G_Vmht1gSP2TbisfNPdoX9mvBxUko7XqV_0n7M6_TR-ALw=w408-h544-k-no,Ya,Ya,Tidak,Belum Lengkap,
