,,,,,,,,Sumber ,,,,,
No,Nama Usaha,Jenis,Alamat,Jam Operasional,No. WA/Telepon,Pantai Terdekat,Link Google Maps,Google Maps,Survei Langsung,Media Sosial,Data Pokdarwis,Status Kelengkapan,Catatan
1,The Summer Hill Mart,Minimarket,"Dusun ketro desa, RT.01/RW.06, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552",7.00 am–9.00 pm,wa.me/6285290820341,Pasir Putih Watukarung,https://maps.app.goo.gl/9JuTyk4Su9bZgMX68,TRUE,FALSE,FALSE,FALSE,Lengkap,
2,Pom Mini Bensin Frizka/Faiz,Pom Mini,"QX7G+C2W, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552",,wa.me/6282143057545,Pasir Putih Watukarung,https://maps.app.goo.gl/Zg8dHUYSFL4NLNx78,TRUE,TRUE,FALSE,FALSE,Lengkap,
3,Pom Mini Bensin kali bendo,Pom Mini,"Ketro, Watukarung, Pringkuku, Pacitan Regency, East Java 63552",5.00 - 18.00,wa.me/6282136589019,Pasir Putih Watukarung,https://maps.app.goo.gl/SSUjFiAxdvbMNKCLA,TRUE,TRUE,FALSE,FALSE,Lengkap,
4,Toko Putih,Minimarket,"QX7H+G25, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552",7.00 - 22.30,,Karung,https://maps.app.goo.gl/Yo59bc9XEL3QbaQ89,TRUE,TRUE,FALSE,FALSE,Lengkap,
5,Toko Al-Faza,Minimarket,"Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552",7.00 - 21.00\,,,,TRUE,TRUE,FALSE,FALSE,Lengkap,
6,Kios Wahyu Lestari,Toko Kelontong,"Pantai Kasap, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552",,,,,FALSE,FALSE,FALSE,FALSE,,
7,Januari Mart,Minimarket,"QX8C+6CQ, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552",6.00 - 23.30,wa.me/6282257189720,Bercak,https://maps.app.goo.gl/buRWbZRKdC3C39sg7,TRUE,TRUE,FALSE,FALSE,Lengkap,
8,Masjid Dusun Gumulharjo,Tempat Ibadah,"QX8C+3RX, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552",24 Jam,,Pasir Putih Watukarung,https://maps.app.goo.gl/LhfrDsKPS9mCF5UV6,TRUE,TRUE,FALSE,FALSE,Lengkap,
9,Risca Laudry,Laundry,,8.00 - 21.00,wa.me/6281232684154,Pasir Putih Watukarung,,FALSE,TRUE,FALSE,FALSE,,
10,Tri Putra Motor,Bengkel,,9.00 - 2.00,wa.me/6282336471605,Pasir Putih Watukarung,,FALSE,TRUE,FALSE,FALSE,,
11,Masjid Dusun Ketro ,Tempat Ibadah,"QX7F+MJQ, Ketro, Watukarung, Kec. Pringkuku, Kabupaten Pacitan, Jawa Timur 63552",24 Jam,,Pasir Putih Watukarung,https://maps.app.goo.gl/31ZBwJirbPzKmFQa9,TRUE,TRUE,FALSE,FALSE,Lengkap,
12,N-Mart,Minimarket,,07.00-20.30,,Pasir Putih Watukarung,,FALSE,TRUE,FALSE,FALSE,Belum Lengkap,
13,,,,,,,,FALSE,FALSE,FALSE,FALSE,,
14,,,,,,,,FALSE,FALSE,FALSE,FALSE,,
15,,,,,,,,FALSE,FALSE,FALSE,FALSE,,
16,,,,,,,,FALSE,FALSE,FALSE,FALSE,,
17,,,,,,,,FALSE,FALSE,FALSE,FALSE,,
18,,,,,,,,FALSE,FALSE,FALSE,FALSE,,
19,,,,,,,,FALSE,FALSE,FALSE,FALSE,,
20,,,,,,,,FALSE,FALSE,FALSE,FALSE,,
21,,,,,,,,FALSE,FALSE,FALSE,FALSE,,
22,,,,,,,,FALSE,FALSE,FALSE,FALSE,,
23,,,,,,,,FALSE,FALSE,FALSE,FALSE,,
24,,,,,,,,FALSE,FALSE,FALSE,FALSE,,
25,,,,,,,,FALSE,FALSE,FALSE,FALSE,,
26,,,,,,,,FALSE,FALSE,FALSE,FALSE,,
27,,,,,,,,FALSE,FALSE,FALSE,FALSE,,
28,,,,,,,,FALSE,FALSE,FALSE,FALSE,,
29,,,,,,,,FALSE,FALSE,FALSE,FALSE,,
30,,,,,,,,FALSE,FALSE,FALSE,FALSE,,
31,,,,,,,,FALSE,FALSE,FALSE,FALSE,,
32,,,,,,,,FALSE,FALSE,FALSE,FALSE,,
33,,,,,,,,FALSE,FALSE,FALSE,FALSE,,
34,,,,,,,,FALSE,FALSE,FALSE,FALSE,,
35,,,,,,,,FALSE,FALSE,FALSE,FALSE,,
36,,,,,,,,FALSE,FALSE,FALSE,FALSE,,
37,,,,,,,,FALSE,FALSE,FALSE,FALSE,,
38,,,,,,,,FALSE,FALSE,FALSE,FALSE,,
39,,,,,,,,FALSE,FALSE,FALSE,FALSE,,
40,,,,,,,,FALSE,FALSE,FALSE,FALSE,,
